onset	duration	trial_type	electrodes_involved	sample_start	sample_stop
0.066895	34.3433	artefact	Rst05	137	70472
0.066895	34.3433	artefact	Rst06	137	70472
51.6328	3.5649	artefact	Gr16	105744	113045
51.6328	3.5649	artefact	Gr11	105744	113045
51.6328	3.5649	artefact	Rst06	105744	113045
191.0098	3.5156	artefact	Gr20	391188	398388
212.3066	49.0918	artefact	Rst05	434804	535344
212.3066	49.0918	artefact	Rst06	434804	535344
212.4224	2.0752	artefact	Gr11	435041	439291
1.4546	23.9946	good data segment	all	2979	52120
37.2578	216.0117	good data segment	all	76304	518696
