onset	duration	trial_type	electrodes_involved	sample_start	sample_stop
31.5879	31.1094	artefact	Gr04	64692	128404
82.5967	0.12842	artefact	Gr04	169158	169421
267.373	9.4648	artefact	Gr01	547580	566964
267.373	9.4648	artefact	Gr02	547580	566964
267.373	9.4648	artefact	Gr04	547580	566964
349.4961	7.3872	artefact	Gr04	715768	730897
349.4961	7.3872	artefact	Gr05	715768	730897
375.4082	188.5557	artefact	Gr01	768836	1154998
375.4082	188.5557	artefact	Gr02	768836	1154998
420.3066	122.8672	artefact	Gr04	860788	1112420
491.3203	18.145	artefact	Gr03	1006224	1043385
0.79102	203.9062	good data segment	all	1620	419220
205.6543	388.4922	good data segment	all	421180	1216812
