onset	duration	trial_type	electrodes_involved	sample_start	sample_stop
203.8438	6.4258	artefact	Gr03	417472	430632
203.8438	6.4258	artefact	Gr05	417472	430632
221.4023	1.1426	artefact	Gr20	453432	455772
318.5645	3.2324	artefact	Gr20	652420	659040
0.26367	447.2188	odd behavior	Gr16	540	916444
0.26367	447.2188	odd behavior	Gr17	540	916444
0.26367	447.2188	odd behavior	Gr18	540	916444
0.26367	447.2188	odd behavior	Gr19	540	916444
0.26367	447.2188	odd behavior	Gr20	540	916444
0.26367	447.2188	odd behavior	Gr11	540	916444
0.26367	447.2188	odd behavior	Gr12	540	916444
0.26367	447.2188	odd behavior	Gr13	540	916444
0.26367	447.2188	odd behavior	Gr14	540	916444
0.26367	447.2188	odd behavior	Gr15	540	916444
0.26367	447.2188	odd behavior	Gr06	540	916444
0.26367	447.2188	odd behavior	Gr07	540	916444
0.26367	447.2188	odd behavior	Gr08	540	916444
0.26367	447.2188	odd behavior	Gr09	540	916444
0.26367	447.2188	odd behavior	Gr10	540	916444
0.26367	447.2188	odd behavior	Gr01	540	916444
0.26367	447.2188	odd behavior	Gr02	540	916444
0.26367	447.2188	odd behavior	Gr03	540	916444
0.26367	447.2188	odd behavior	Gr04	540	916444
0.26367	447.2188	odd behavior	Gr05	540	916444
28.271	73.001	good data segment	all	57899	207405
109.3179	316.4048	good data segment	all	223883	871880
426.2891	25.2461	good data segment	all	873040	924744
